=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G  1 | Fit: 0.16855 | Dist: 3540.5km | Tempo: ~3640min | Rec: 33 | Stag: 0
G  2 | Fit: 0.16958 | Dist: 3529.2km | Tempo: ~3626min | Rec: 33 | Stag: 0
G  3 | Fit: 0.17052 | Dist: 3507.4km | Tempo: ~3612min | Rec: 34 | Stag: 0
G  4 | Fit: 0.17529 | Dist: 3446.0km | Tempo: ~3546min | Rec: 33 | Stag: 0
G  5 | Fit: 0.17854 | Dist: 3411.9km | Tempo: ~3502min | Rec: 31 | Stag: 0
G  6 | Fit: 0.17854 | Dist: 3411.9km | Tempo: ~3502min | Rec: 31 | Stag: 1
G  7 | Fit: 0.18067 | Dist: 3381.9km | Tempo: ~3474min | Rec: 31 | Stag: 0
G  8 | Fit: 0.18385 | Dist: 3338.2km | Tempo: ~3433min | Rec: 32 | Stag: 0
G  9 | Fit: 0.18752 | Dist: 3309.2km | Tempo: ~3387min | Rec: 27 | Stag: 0
G 10 | Fit: 0.18960 | Dist: 3276.6km | Tempo: ~3362min | Rec: 29 | Stag: 0
G 11 | Fit: 0.19200 | Dist: 3243.0km | Tempo: ~3333min | Rec: 30 | Stag: 0
G 12 | Fit: 0.19200 | Dist: 3243.0km | Tempo: ~3333min | Rec: 30 | Stag: 1
G 13 | Fit: 0.19237 | Dist: 3245.2km | Tempo: ~3329min | Rec: 29 | Stag: 0
G 14 | Fit: 0.19625 | Dist: 3204.5km | Tempo: ~3283min | Rec: 28 | Stag: 0
G 15 | Fit: 0.19625 | Dist: 3204.5km | Tempo: ~3283min | Rec: 28 | Stag: 1
G 16 | Fit: 0.20165 | Dist: 3147.4km | Tempo: ~3222min | Rec: 26 | Stag: 0
G 17 | Fit: 0.20165 | Dist: 3147.4km | Tempo: ~3222min | Rec: 26 | Stag: 1
G 18 | Fit: 0.20165 | Dist: 3147.4km | Tempo: ~3222min | Rec: 26 | Stag: 2
G 19 | Fit: 0.20249 | Dist: 3125.3km | Tempo: ~3212min | Rec: 30 | Stag: 0
G 20 | Fit: 0.20569 | Dist: 3102.3km | Tempo: ~3177min | Rec: 26 | Stag: 0
G 21 | Fit: 0.20569 | Dist: 3102.3km | Tempo: ~3177min | Rec: 26 | Stag: 1
G 22 | Fit: 0.20826 | Dist: 3079.1km | Tempo: ~3150min | Rec: 25 | Stag: 0
G 23 | Fit: 0.20826 | Dist: 3079.1km | Tempo: ~3150min | Rec: 25 | Stag: 1
G 24 | Fit: 0.20945 | Dist: 3058.6km | Tempo: ~3137min | Rec: 27 | Stag: 0
G 25 | Fit: 0.21138 | Dist: 3038.8km | Tempo: ~3117min | Rec: 27 | Stag: 0
G 26 | Fit: 0.21398 | Dist: 3013.3km | Tempo: ~3090min | Rec: 26 | Stag: 0
G 27 | Fit: 0.21398 | Dist: 3013.3km | Tempo: ~3090min | Rec: 26 | Stag: 1
G 28 | Fit: 0.21398 | Dist: 3013.3km | Tempo: ~3090min | Rec: 26 | Stag: 2
G 29 | Fit: 0.21525 | Dist: 3001.9km | Tempo: ~3077min | Rec: 26 | Stag: 0
G 30 | Fit: 0.21751 | Dist: 2980.4km | Tempo: ~3055min | Rec: 26 | Stag: 0
G 31 | Fit: 0.21751 | Dist: 2980.4km | Tempo: ~3055min | Rec: 26 | Stag: 1
G 32 | Fit: 0.22301 | Dist: 2931.8km | Tempo: ~3001min | Rec: 25 | Stag: 0
G 33 | Fit: 0.22434 | Dist: 2916.6km | Tempo: ~2988min | Rec: 25 | Stag: 0
G 34 | Fit: 0.22434 | Dist: 2916.6km | Tempo: ~2988min | Rec: 25 | Stag: 1
G 35 | Fit: 0.22549 | Dist: 2904.6km | Tempo: ~2977min | Rec: 24 | Stag: 0
G 36 | Fit: 0.22551 | Dist: 2906.3km | Tempo: ~2977min | Rec: 25 | Stag: 0
G 37 | Fit: 0.22632 | Dist: 2899.1km | Tempo: ~2969min | Rec: 25 | Stag: 0
G 38 | Fit: 0.22713 | Dist: 2885.7km | Tempo: ~2962min | Rec: 25 | Stag: 0
G 39 | Fit: 0.22926 | Dist: 2868.7km | Tempo: ~2942min | Rec: 25 | Stag: 0
G 40 | Fit: 0.23073 | Dist: 2860.6km | Tempo: ~2928min | Rec: 25 | Stag: 0
G 41 | Fit: 0.23123 | Dist: 2857.6km | Tempo: ~2924min | Rec: 24 | Stag: 0
G 42 | Fit: 0.23123 | Dist: 2857.6km | Tempo: ~2924min | Rec: 24 | Stag: 1
G 43 | Fit: 0.23485 | Dist: 2820.6km | Tempo: ~2891min | Rec: 25 | Stag: 0
G 44 | Fit: 0.23485 | Dist: 2820.6km | Tempo: ~2891min | Rec: 25 | Stag: 1
G 45 | Fit: 0.23598 | Dist: 2811.4km | Tempo: ~2881min | Rec: 24 | Stag: 0
G 46 | Fit: 0.23740 | Dist: 2802.2km | Tempo: ~2868min | Rec: 24 | Stag: 0
G 47 | Fit: 0.23903 | Dist: 2784.5km | Tempo: ~2854min | Rec: 24 | Stag: 0
G 48 | Fit: 0.24204 | Dist: 2756.1km | Tempo: ~2828min | Rec: 24 | Stag: 0
G 49 | Fit: 0.24204 | Dist: 2756.1km | Tempo: ~2828min | Rec: 24 | Stag: 1
G 50 | Fit: 0.24256 | Dist: 2751.8km | Tempo: ~2824min | Rec: 25 | Stag: 0
G 51 | Fit: 0.24483 | Dist: 2735.6km | Tempo: ~2805min | Rec: 25 | Stag: 0
G 52 | Fit: 0.24580 | Dist: 2713.8km | Tempo: ~2796min | Rec: 28 | Stag: 0
G 53 | Fit: 0.24810 | Dist: 2709.3km | Tempo: ~2777min | Rec: 24 | Stag: 0
G 54 | Fit: 0.24839 | Dist: 2708.7km | Tempo: ~2775min | Rec: 23 | Stag: 0
G 55 | Fit: 0.25052 | Dist: 2692.3km | Tempo: ~2757min | Rec: 23 | Stag: 0
G 56 | Fit: 0.25433 | Dist: 2659.7km | Tempo: ~2727min | Rec: 23 | Stag: 0
G 57 | Fit: 0.25433 | Dist: 2659.7km | Tempo: ~2727min | Rec: 23 | Stag: 1
G 58 | Fit: 0.25458 | Dist: 2654.7km | Tempo: ~2725min | Rec: 24 | Stag: 0
G 59 | Fit: 0.25587 | Dist: 2647.9km | Tempo: ~2714min | Rec: 23 | Stag: 0
G 60 | Fit: 0.25737 | Dist: 2640.2km | Tempo: ~2703min | Rec: 22 | Stag: 0
G 61 | Fit: 0.25985 | Dist: 2616.4km | Tempo: ~2683min | Rec: 22 | Stag: 0
G 62 | Fit: 0.25985 | Dist: 2616.4km | Tempo: ~2683min | Rec: 22 | Stag: 1
G 63 | Fit: 0.26045 | Dist: 2614.4km | Tempo: ~2679min | Rec: 22 | Stag: 0
G 64 | Fit: 0.26145 | Dist: 2606.4km | Tempo: ~2671min | Rec: 22 | Stag: 0
G 65 | Fit: 0.26145 | Dist: 2606.4km | Tempo: ~2671min | Rec: 22 | Stag: 1
G 66 | Fit: 0.26464 | Dist: 2574.5km | Tempo: ~2647min | Rec: 25 | Stag: 0
G 67 | Fit: 0.26551 | Dist: 2567.8km | Tempo: ~2640min | Rec: 25 | Stag: 0
G 68 | Fit: 0.26585 | Dist: 2574.0km | Tempo: ~2637min | Rec: 23 | Stag: 0
G 69 | Fit: 0.26938 | Dist: 2541.3km | Tempo: ~2611min | Rec: 24 | Stag: 0
G 70 | Fit: 0.26938 | Dist: 2541.3km | Tempo: ~2611min | Rec: 24 | Stag: 1
G 71 | Fit: 0.26938 | Dist: 2541.3km | Tempo: ~2611min | Rec: 24 | Stag: 2
G 72 | Fit: 0.27426 | Dist: 2504.7km | Tempo: ~2576min | Rec: 24 | Stag: 0
G 73 | Fit: 0.27426 | Dist: 2504.7km | Tempo: ~2576min | Rec: 24 | Stag: 1
G 74 | Fit: 0.27429 | Dist: 2504.6km | Tempo: ~2575min | Rec: 24 | Stag: 0
G 75 | Fit: 0.27559 | Dist: 2504.9km | Tempo: ~2566min | Rec: 22 | Stag: 0
G 76 | Fit: 0.27667 | Dist: 2498.3km | Tempo: ~2558min | Rec: 21 | Stag: 0
G 77 | Fit: 0.27694 | Dist: 2492.8km | Tempo: ~2556min | Rec: 22 | Stag: 0
G 78 | Fit: 0.27941 | Dist: 2479.8km | Tempo: ~2539min | Rec: 21 | Stag: 0
G 79 | Fit: 0.27941 | Dist: 2479.8km | Tempo: ~2539min | Rec: 21 | Stag: 1
G 80 | Fit: 0.27942 | Dist: 2476.9km | Tempo: ~2539min | Rec: 22 | Stag: 0
G 81 | Fit: 0.27957 | Dist: 2478.3km | Tempo: ~2538min | Rec: 21 | Stag: 0
G 82 | Fit: 0.28027 | Dist: 2474.9km | Tempo: ~2533min | Rec: 21 | Stag: 0
G 83 | Fit: 0.28294 | Dist: 2450.9km | Tempo: ~2515min | Rec: 21 | Stag: 0
G 84 | Fit: 0.28434 | Dist: 2446.0km | Tempo: ~2505min | Rec: 22 | Stag: 0
G 85 | Fit: 0.28434 | Dist: 2446.0km | Tempo: ~2505min | Rec: 22 | Stag: 1
G 86 | Fit: 0.28581 | Dist: 2436.1km | Tempo: ~2495min | Rec: 21 | Stag: 0
G 87 | Fit: 0.28817 | Dist: 2422.7km | Tempo: ~2479min | Rec: 20 | Stag: 0
G 88 | Fit: 0.28817 | Dist: 2422.7km | Tempo: ~2479min | Rec: 20 | Stag: 1
G 89 | Fit: 0.29088 | Dist: 2402.4km | Tempo: ~2461min | Rec: 21 | Stag: 0
G 90 | Fit: 0.29088 | Dist: 2402.4km | Tempo: ~2461min | Rec: 21 | Stag: 1
G 91 | Fit: 0.29109 | Dist: 2386.9km | Tempo: ~2460min | Rec: 25 | Stag: 0
G 92 | Fit: 0.29109 | Dist: 2386.9km | Tempo: ~2460min | Rec: 25 | Stag: 1
G 93 | Fit: 0.29293 | Dist: 2390.3km | Tempo: ~2447min | Rec: 21 | Stag: 0
G 94 | Fit: 0.29579 | Dist: 2368.6km | Tempo: ~2429min | Rec: 20 | Stag: 0
G 95 | Fit: 0.29579 | Dist: 2368.6km | Tempo: ~2429min | Rec: 20 | Stag: 1
G 96 | Fit: 0.29579 | Dist: 2368.6km | Tempo: ~2429min | Rec: 20 | Stag: 2
G 97 | Fit: 0.29579 | Dist: 2368.6km | Tempo: ~2429min | Rec: 20 | Stag: 3
G 98 | Fit: 0.29879 | Dist: 2353.4km | Tempo: ~2409min | Rec: 21 | Stag: 0
G 99 | Fit: 0.29879 | Dist: 2353.4km | Tempo: ~2409min | Rec: 21 | Stag: 1
G100 | Fit: 0.30097 | Dist: 2338.7km | Tempo: ~2396min | Rec: 20 | Stag: 0
G101 | Fit: 0.30265 | Dist: 2328.7km | Tempo: ~2385min | Rec: 20 | Stag: 0
G102 | Fit: 0.30321 | Dist: 2326.6km | Tempo: ~2381min | Rec: 20 | Stag: 0
G103 | Fit: 0.30336 | Dist: 2323.9km | Tempo: ~2381min | Rec: 20 | Stag: 0
G104 | Fit: 0.30504 | Dist: 2311.6km | Tempo: ~2370min | Rec: 21 | Stag: 0
G105 | Fit: 0.30504 | Dist: 2311.6km | Tempo: ~2370min | Rec: 21 | Stag: 1
G106 | Fit: 0.30504 | Dist: 2311.6km | Tempo: ~2370min | Rec: 21 | Stag: 2
G107 | Fit: 0.30504 | Dist: 2311.6km | Tempo: ~2370min | Rec: 21 | Stag: 3
G108 | Fit: 0.30726 | Dist: 2299.0km | Tempo: ~2356min | Rec: 20 | Stag: 0
G109 | Fit: 0.30815 | Dist: 2296.5km | Tempo: ~2351min | Rec: 20 | Stag: 0
G110 | Fit: 0.30949 | Dist: 2285.9km | Tempo: ~2343min | Rec: 20 | Stag: 0
G111 | Fit: 0.31059 | Dist: 2278.7km | Tempo: ~2336min | Rec: 20 | Stag: 0
G112 | Fit: 0.31072 | Dist: 2279.3km | Tempo: ~2335min | Rec: 20 | Stag: 0
