=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G  1 | Fit: 0.16673 | Dist: 3564.6km | Tempo: ~3667min | Rec: 34 | Stag: 0
G  2 | Fit: 0.17370 | Dist: 3466.9km | Tempo: ~3568min | Rec: 34 | Stag: 0
G  3 | Fit: 0.17490 | Dist: 3463.1km | Tempo: ~3551min | Rec: 29 | Stag: 0
G  4 | Fit: 0.17983 | Dist: 3387.1km | Tempo: ~3485min | Rec: 32 | Stag: 0
G  5 | Fit: 0.18276 | Dist: 3357.8km | Tempo: ~3447min | Rec: 30 | Stag: 0
G  6 | Fit: 0.18554 | Dist: 3332.7km | Tempo: ~3412min | Rec: 27 | Stag: 0
G  7 | Fit: 0.18790 | Dist: 3302.2km | Tempo: ~3383min | Rec: 28 | Stag: 0
G  8 | Fit: 0.18898 | Dist: 3289.9km | Tempo: ~3369min | Rec: 28 | Stag: 0
G  9 | Fit: 0.19284 | Dist: 3233.3km | Tempo: ~3323min | Rec: 30 | Stag: 0
G 10 | Fit: 0.19504 | Dist: 3217.3km | Tempo: ~3297min | Rec: 27 | Stag: 0
G 11 | Fit: 0.19504 | Dist: 3217.3km | Tempo: ~3297min | Rec: 27 | Stag: 1
G 12 | Fit: 0.19581 | Dist: 3198.2km | Tempo: ~3288min | Rec: 30 | Stag: 0
G 13 | Fit: 0.20161 | Dist: 3143.9km | Tempo: ~3222min | Rec: 27 | Stag: 0
G 14 | Fit: 0.20294 | Dist: 3127.5km | Tempo: ~3207min | Rec: 28 | Stag: 0
G 15 | Fit: 0.20690 | Dist: 3092.3km | Tempo: ~3164min | Rec: 26 | Stag: 0
G 16 | Fit: 0.20690 | Dist: 3092.3km | Tempo: ~3164min | Rec: 26 | Stag: 1
G 17 | Fit: 0.20690 | Dist: 3092.3km | Tempo: ~3164min | Rec: 26 | Stag: 2
G 18 | Fit: 0.20821 | Dist: 3069.6km | Tempo: ~3150min | Rec: 28 | Stag: 0
G 19 | Fit: 0.20976 | Dist: 3062.3km | Tempo: ~3134min | Rec: 25 | Stag: 0
G 20 | Fit: 0.21520 | Dist: 3002.3km | Tempo: ~3078min | Rec: 26 | Stag: 0
G 21 | Fit: 0.21561 | Dist: 3000.1km | Tempo: ~3074min | Rec: 26 | Stag: 0
G 22 | Fit: 0.21635 | Dist: 2988.6km | Tempo: ~3066min | Rec: 27 | Stag: 0
G 23 | Fit: 0.21889 | Dist: 2965.1km | Tempo: ~3041min | Rec: 26 | Stag: 0
G 24 | Fit: 0.21889 | Dist: 2965.1km | Tempo: ~3041min | Rec: 26 | Stag: 1
G 25 | Fit: 0.21960 | Dist: 2961.3km | Tempo: ~3034min | Rec: 25 | Stag: 0
G 26 | Fit: 0.22246 | Dist: 2931.7km | Tempo: ~3006min | Rec: 26 | Stag: 0
G 27 | Fit: 0.22273 | Dist: 2930.2km | Tempo: ~3004min | Rec: 25 | Stag: 0
G 28 | Fit: 0.22583 | Dist: 2896.1km | Tempo: ~2974min | Rec: 27 | Stag: 0
G 29 | Fit: 0.22614 | Dist: 2894.7km | Tempo: ~2971min | Rec: 27 | Stag: 0
G 30 | Fit: 0.23006 | Dist: 2860.7km | Tempo: ~2935min | Rec: 26 | Stag: 0
G 31 | Fit: 0.23204 | Dist: 2845.4km | Tempo: ~2916min | Rec: 25 | Stag: 0
G 32 | Fit: 0.23399 | Dist: 2827.4km | Tempo: ~2899min | Rec: 25 | Stag: 0
G 33 | Fit: 0.23518 | Dist: 2817.8km | Tempo: ~2888min | Rec: 25 | Stag: 0
G 34 | Fit: 0.23770 | Dist: 2793.3km | Tempo: ~2866min | Rec: 26 | Stag: 0
G 35 | Fit: 0.23896 | Dist: 2783.6km | Tempo: ~2855min | Rec: 26 | Stag: 0
G 36 | Fit: 0.24057 | Dist: 2770.7km | Tempo: ~2841min | Rec: 25 | Stag: 0
G 37 | Fit: 0.24738 | Dist: 2716.8km | Tempo: ~2783min | Rec: 24 | Stag: 0
G 38 | Fit: 0.24738 | Dist: 2716.8km | Tempo: ~2783min | Rec: 24 | Stag: 1
G 39 | Fit: 0.24949 | Dist: 2697.6km | Tempo: ~2766min | Rec: 24 | Stag: 0
G 40 | Fit: 0.24954 | Dist: 2697.4km | Tempo: ~2765min | Rec: 24 | Stag: 0
G 41 | Fit: 0.25283 | Dist: 2669.2km | Tempo: ~2739min | Rec: 24 | Stag: 0
G 42 | Fit: 0.25312 | Dist: 2665.8km | Tempo: ~2736min | Rec: 24 | Stag: 0
G 43 | Fit: 0.25312 | Dist: 2665.8km | Tempo: ~2736min | Rec: 24 | Stag: 1
G 44 | Fit: 0.25647 | Dist: 2643.3km | Tempo: ~2710min | Rec: 24 | Stag: 0
G 45 | Fit: 0.25647 | Dist: 2643.3km | Tempo: ~2710min | Rec: 24 | Stag: 1
G 46 | Fit: 0.25661 | Dist: 2638.4km | Tempo: ~2709min | Rec: 24 | Stag: 0
G 47 | Fit: 0.26006 | Dist: 2596.3km | Tempo: ~2682min | Rec: 30 | Stag: 0
G 48 | Fit: 0.26252 | Dist: 2596.4km | Tempo: ~2663min | Rec: 24 | Stag: 0
G 49 | Fit: 0.26536 | Dist: 2577.8km | Tempo: ~2641min | Rec: 23 | Stag: 0
G 50 | Fit: 0.26536 | Dist: 2577.8km | Tempo: ~2641min | Rec: 23 | Stag: 1
G 51 | Fit: 0.26541 | Dist: 2574.9km | Tempo: ~2641min | Rec: 23 | Stag: 0
G 52 | Fit: 0.26854 | Dist: 2551.1km | Tempo: ~2617min | Rec: 23 | Stag: 0
