=== INICIANDO AG PURO V3.1 (OTIMIZADO 2) ===
G   1 | Fit: 0.17450 | Dist: 3448.2km | Tempo: ~3557min | Rec: 36 | Stag: 1 | T:1.0s
G  11 | Fit: 0.19397 | Dist: 3208.6km | Tempo: ~3310min | Rec: 33 | Stag: 0 | T:6.9s
G  21 | Fit: 0.21128 | Dist: 3025.8km | Tempo: ~3118min | Rec: 32 | Stag: 1 | T:12.6s
G  31 | Fit: 0.23176 | Dist: 2833.9km | Tempo: ~2919min | Rec: 29 | Stag: 0 | T:18.1s
G  41 | Fit: 0.25026 | Dist: 2675.3km | Tempo: ~2759min | Rec: 28 | Stag: 1 | T:23.6s
G  51 | Fit: 0.26488 | Dist: 2567.9km | Tempo: ~2645min | Rec: 26 | Stag: 1 | T:29.1s
G  61 | Fit: 0.28157 | Dist: 2449.0km | Tempo: ~2524min | Rec: 25 | Stag: 0 | T:34.6s
G  71 | Fit: 0.29962 | Dist: 2329.6km | Tempo: ~2404min | Rec: 25 | Stag: 0 | T:41.2s
G  81 | Fit: 0.31833 | Dist: 2223.4km | Tempo: ~2290min | Rec: 23 | Stag: 0 | T:47.1s
G  91 | Fit: 0.33256 | Dist: 2148.7km | Tempo: ~2209min | Rec: 22 | Stag: 0 | T:52.7s
G 101 | Fit: 0.34860 | Dist: 2063.9km | Tempo: ~2123min | Rec: 22 | Stag: 0 | T:58.2s
G 111 | Fit: 0.36738 | Dist: 1973.8km | Tempo: ~2029min | Rec: 21 | Stag: 0 | T:63.7s
G 121 | Fit: 0.38198 | Dist: 1902.2km | Tempo: ~1960min | Rec: 20 | Stag: 1 | T:69.2s
G 131 | Fit: 0.39085 | Dist: 1865.0km | Tempo: ~1919min | Rec: 19 | Stag: 0 | T:74.6s
G 141 | Fit: 0.40348 | Dist: 1810.0km | Tempo: ~1864min | Rec: 19 | Stag: 0 | T:80.1s
G 151 | Fit: 0.42021 | Dist: 1745.5km | Tempo: ~1794min | Rec: 17 | Stag: 0 | T:85.5s
G 161 | Fit: 0.43613 | Dist: 1680.5km | Tempo: ~1730min | Rec: 17 | Stag: 0 | T:91.0s
G 171 | Fit: 0.45346 | Dist: 1617.9km | Tempo: ~1664min | Rec: 17 | Stag: 0 | T:96.2s
G 181 | Fit: 0.46923 | Dist: 1562.7km | Tempo: ~1606min | Rec: 16 | Stag: 0 | T:102.1s
