CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
82821020.0,-25.4233146347775,-49.2160678044742,1,06:00:00,92,80040153.0,-25.4213319028677,-49.2481648998847,NÃO,06:02:13
80040153.0,-25.4213319028677,-49.2481648998847,1,06:03:25,64,80045340.0,-25.4273942123959,-49.2452352041218,NÃO,06:04:04
80045340.0,-25.4273942123959,-49.2452352041218,1,06:05:16,88,80045265.0,-25.430376,-49.248243,NÃO,06:05:35
80045265.0,-25.430376,-49.248243,1,06:06:47,84,80045270.0,-25.4269458358083,-49.2498379452408,NÃO,06:07:06
80045270.0,-25.4269458358083,-49.2498379452408,1,06:08:18,76,80010040.0,-25.433306347953,-49.2586024190518,NÃO,06:09:12
80010040.0,-25.433306347953,-49.2586024190518,1,06:10:24,40,80060040.0,-25.4318069334388,-49.263280830672,NÃO,06:11:15
80060040.0,-25.4318069334388,-49.263280830672,1,06:12:27,76,80230090.0,-25.4390390483783,-49.2723309760101,NÃO,06:13:25
80230090.0,-25.4390390483783,-49.2723309760101,1,06:14:37,76,80250085.0,-25.4428916686675,-49.2805507832172,NÃO,06:15:22
80250085.0,-25.4428916686675,-49.2805507832172,1,06:16:34,80,80010010.0,-25.4267759520353,-49.2679877486134,NÃO,06:18:14
80010010.0,-25.4267759520353,-49.2679877486134,1,06:19:26,80,80030010.0,-25.424164,-49.266866,NÃO,06:19:41
80030010.0,-25.424164,-49.266866,1,06:20:53,84,80530040.0,-25.4219925091123,-49.2723748799989,NÃO,06:21:21
80530040.0,-25.4219925091123,-49.2723748799989,1,06:22:33,40,80530210.0,-25.415928,-49.266714,NÃO,06:23:53
80530210.0,-25.415928,-49.266714,1,06:25:05,52,80030430.0,-25.4146322176159,-49.2550561883948,NÃO,06:26:22
80030430.0,-25.4146322176159,-49.2550561883948,1,06:27:34,76,80045160.0,-25.4227240373025,-49.257747950136,NÃO,06:28:17
80045160.0,-25.4227240373025,-49.257747950136,1,06:29:29,84,80030200.0,-25.4196624320568,-49.2602838398977,NÃO,06:29:49
80030200.0,-25.4196624320568,-49.2602838398977,1,06:31:01,36,80060170.0,-25.4278721677395,-49.2593020468696,NÃO,06:32:23
80060170.0,-25.4278721677395,-49.2593020468696,1,06:33:35,36,80040150.0,-25.419191727292,-49.2505313635874,NÃO,06:35:46
80040150.0,-25.419191727292,-49.2505313635874,1,06:36:58,84,82520095.0,-25.4146626252933,-49.2400308757049,NÃO,06:37:47
82520095.0,-25.4146626252933,-49.2400308757049,1,06:38:59,84,80035230.0,-25.4008064386385,-49.2512257402299,NÃO,06:40:27
80035230.0,-25.4008064386385,-49.2512257402299,1,06:41:39,92,82560040.0,-25.385069922368,-49.2480647046834,NÃO,06:42:51
82560040.0,-25.385069922368,-49.2480647046834,1,06:44:03,88,82220133.0,-25.3760098333463,-49.2639595000711,NÃO,06:45:26
82220133.0,-25.3760098333463,-49.2639595000711,1,06:46:38,96,82220142.0,-25.3755612295988,-49.2640974005018,NÃO,06:46:41
82220142.0,-25.3755612295988,-49.2640974005018,1,06:47:53,88,82220610.0,-25.3725747859642,-49.2682819283134,NÃO,06:48:17
82220610.0,-25.3725747859642,-49.2682819283134,1,06:49:29,68,82220470.0,-25.3569461500704,-49.2736981005731,NÃO,06:51:13
82220470.0,-25.3569461500704,-49.2736981005731,1,06:52:25,48,82130580.0,-25.3655056873644,-49.280654645349,NÃO,06:53:52
82130580.0,-25.3655056873644,-49.280654645349,1,06:55:04,88,82130470.0,-25.3763584193723,-49.2754817420857,NÃO,06:55:55
82130470.0,-25.3763584193723,-49.2754817420857,1,06:57:07,80,82130282.0,-25.3808727224324,-49.2743298330015,NÃO,06:57:29
