CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
82821020.0,-25.4233146347775,-49.2160678044742,1,06:00:00,88,82821016.0,-25.4270763750322,-49.209505500185,NÃO,06:00:31
82821016.0,-25.4270763750322,-49.209505500185,1,06:01:43,40,81520250.0,-25.4595564842104,-49.2411990341756,NÃO,06:08:49
81520250.0,-25.4595564842104,-49.2411990341756,1,06:10:01,72,82900480.0,-25.445789018659,-49.2173394258684,NÃO,06:12:21
82900480.0,-25.445789018659,-49.2173394258684,1,06:13:33,52,82960518.0,-25.4654572500437,-49.1984884999811,NÃO,06:16:35
82960518.0,-25.4654572500437,-49.1984884999811,1,06:17:47,72,82960488.0,-25.4654066369594,-49.210649939143,NÃO,06:18:52
82960488.0,-25.4654066369594,-49.210649939143,1,06:20:04,96,82950220.0,-25.4538040386831,-49.2173702690989,NÃO,06:21:02
82950220.0,-25.4538040386831,-49.2173702690989,1,06:22:14,96,81530380.0,-25.4625848305665,-49.2300931009572,NÃO,06:23:15
81530380.0,-25.4625848305665,-49.2300931009572,1,06:24:27,76,81520290.0,-25.4627057622716,-49.2410266625473,NÃO,06:25:22
81520290.0,-25.4627057622716,-49.2410266625473,1,06:26:34,52,82980520.0,-25.4702554549873,-49.1880231206476,NÃO,06:32:18
82980520.0,-25.4702554549873,-49.1880231206476,1,06:33:30,36,81540160.0,-25.4663186667815,-49.2166009443659,NÃO,06:38:59
81540160.0,-25.4663186667815,-49.2166009443659,1,06:40:11,88,81550150.0,-25.4770778208763,-49.2126543845983,NÃO,06:41:00
81550150.0,-25.4770778208763,-49.2126543845983,1,06:42:12,96,81590568.0,-25.4865484092882,-49.1981543961654,NÃO,06:43:16
81590568.0,-25.4865484092882,-49.1981543961654,1,06:44:28,60,81590220.0,-25.4821304044981,-49.1983598981544,NÃO,06:45:00
81590220.0,-25.4821304044981,-49.1983598981544,1,06:46:12,72,81670260.0,-25.5039440665513,-49.2550349720709,NÃO,06:51:30
81670260.0,-25.5039440665513,-49.2550349720709,1,06:52:42,60,81750200.0,-25.5157135001734,-49.243793374824,NÃO,06:54:18
81750200.0,-25.5157135001734,-49.243793374824,1,06:55:30,96,82930370.0,-25.4627990031427,-49.2053096781914,NÃO,06:59:57
82930370.0,-25.4627990031427,-49.2053096781914,1,07:01:09,60,82810080.0,-25.4396831550178,-49.213992719196,NÃO,07:03:52
82810080.0,-25.4396831550178,-49.213992719196,1,07:05:04,84,80210200.0,-25.4425802500035,-49.2447534999719,NÃO,07:07:18
80210200.0,-25.4425802500035,-49.2447534999719,1,07:08:30,60,80215650.0,-25.4484380190541,-49.2490664368478,NÃO,07:09:17
80215650.0,-25.4484380190541,-49.2490664368478,1,07:10:29,60,80215542.0,-25.4467561755521,-49.2503976846901,NÃO,07:10:43
80215542.0,-25.4467561755521,-49.2503976846901,1,07:11:55,96,82810220.0,-25.4362783812433,-49.2176039050576,NÃO,07:14:06
82810220.0,-25.4362783812433,-49.2176039050576,1,07:15:18,60,82650320.0,-25.3737566254647,-49.2469140011033,NÃO,07:22:51
82650320.0,-25.3737566254647,-49.2469140011033,1,07:24:03,92,82200216.0,-25.3890870000006,-49.270339250004,NÃO,07:25:57
82200216.0,-25.3890870000006,-49.270339250004,1,07:27:09,80,80530210.0,-25.415928,-49.266714,NÃO,07:29:25
80530210.0,-25.415928,-49.266714,1,07:30:37,40,80730270.0,-25.4395442941516,-49.3020722939492,NÃO,07:37:15
80730270.0,-25.4395442941516,-49.3020722939492,1,07:38:27,96,81200160.0,-25.4320014000022,-49.3213627999599,NÃO,07:39:47
81200160.0,-25.4320014000022,-49.3213627999599,1,07:40:59,80,80440020.0,-25.4428337956861,-49.300747838027,NÃO,07:42:47
80440020.0,-25.4428337956861,-49.300747838027,1,07:43:59,88,81200400.0,-25.4338997893551,-49.3437087449233,NÃO,07:47:01
81200400.0,-25.4338997893551,-49.3437087449233,1,07:48:13,60,81200390.0,-25.4331374954389,-49.3440640772759,NÃO,07:48:19
